Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.007,5.945,3.205,9.15,75.97,2.76,1.09
0.008,5.426,2.846,8.272,93.57,3.73,1.29
0.009,4.978,2.562,7.539999999999999,112.8,4.63,1.51
0.01,4.562,2.332,6.894,133.78,5.52,1.75
